ID,Tipo,Categoria,Descrição
RF001,Funcional,Agendamento Público,"Qualquer usuário (visitante, aluno, professor) deve poder acessar uma página de agendamento."
RF002,Funcional,Agendamento Público,O sistema deve permitir a seleção de um psicólogo específico para visualização da agenda.
RF003,Funcional,Agendamento Público,"Ao visualizar a agenda, o sistema deve exibir o nome e o instituto do psicólogo (ex: ""Ana Machado - ICOMP"")."
RF004,Funcional,Agendamento Público,"O sistema deve exibir o calendário do psicólogo selecionado, mostrando claramente os dias e horários disponíveis para agendamento."
RF005,Funcional,Agendamento Público,"O sistema deve marcar visualmente os horários que já estão com solicitações pendentes ou confirmadas, impedindo a seleção."
RF006,Funcional,Solicitação de Agendamento,"Um visitante deve poder selecionar um horário disponível e preencher um formulário com seu nome, matrícula e email para solicitar um agendamento para si mesmo."
RF007,Funcional,Solicitação de Agendamento,"Um visitante deve poder selecionar um horário e preencher um formulário com seu email (solicitante) e os dados do colega (nome, matrícula, email do colega)."
RF008,Funcional,Solicitação de Agendamento,"Um aluno logado deve poder selecionar um horário. O sistema deve preencher automaticamente seus dados (nome, matrícula, email) para a solicitação."
RF009,Funcional,Solicitação de Agendamento,"Um aluno logado deve poder selecionar um horário e informar os dados do colega (nome, matrícula, email) para quem o atendimento é destinado. O sistema deve registrar quem foi o solicitante."
RF010,Funcional,Solicitação de Agendamento,"Um professor logado deve poder selecionar um horário e informar os dados do aluno (nome, matrícula, email) para quem está solicitando o atendimento. O sistema deve registrar que o professor foi o solicitante."
RF011,Funcional,Solicitação de Agendamento,"Ao ser solicitado, um horário deve ser imediatamente bloqueado na agenda pública, tornando-se indisponível para novas solicitações, mesmo que ainda não tenha sido confirmado pela psicóloga."
RF012,Funcional,Solicitação de Agendamento,"Após o envio de uma solicitação, o sistema deve enviar um email para o solicitante confirmando que o pedido foi recebido e está aguardando aprovação."
RF013,Funcional,Gerenciamento de Consultas (Psicólogo),"O psicólogo deve ter uma tela (dashboard) para visualizar todas as solicitações de agendamento pendentes, organizadas por data."
RF014,Funcional,Gerenciamento de Consultas (Psicólogo),"O psicólogo deve poder clicar em uma solicitação para ver todos os detalhes: dados do paciente, dados do solicitante (se for diferente) e horário pedido."
RF015,Funcional,Gerenciamento de Consultas (Psicólogo),"O psicólogo deve poder aprovar uma solicitação. Ao aprovar, o status do agendamento muda para ""Confirmado""."
RF016,Funcional,Gerenciamento de Consultas (Psicólogo),O psicólogo deve poder recusar uma solicitação. O sistema deve exigir o preenchimento de um campo de justificativa.
RF017,Funcional,Gerenciamento de Consultas (Psicólogo),"Ao aprovar uma solicitação, o sistema deve enviar um email de confirmação para o email do paciente e para o email do solicitante (se aplicável)."
RF018,Funcional,Gerenciamento de Consultas (Psicólogo),"Ao recusar uma solicitação, o sistema deve enviar um email de notificação para o paciente e para o solicitante (se aplicável), incluindo a justificativa fornecida pelo psicólogo."
RF019,Funcional,Gerenciamento de Consultas (Psicólogo),"Se uma solicitação for recusada, o horário correspondente deve voltar a ficar disponível na agenda pública."
RF020,Funcional,Gerenciamento de Consultas (Psicólogo),"O psicólogo deve ter a funcionalidade de criar um novo agendamento diretamente em sua agenda para um paciente (informando nome, matrícula e email), sem a necessidade de uma solicitação prévia. Este agendamento já nasce com o status ""Confirmado""."
RF021,Funcional,Administração,O administrador deve ter acesso a um painel de controle centralizado com todas as funções de gerenciamento do sistema.
RF022,Funcional,Administração,"O administrador deve poder criar, visualizar, editar e desativar contas de usuários dos perfis Aluno, Professor e Psicólogo."
RF023,Funcional,Administração,O administrador deve poder atribuir ou alterar o perfil de um usuário (ex: promover um usuário para o perfil de Psicólogo).
RF024,Funcional,Administração,O administrador deve poder configurar os horários de trabalho e a disponibilidade de cada psicólogo cadastrado no sistema.
RF025,Funcional,Administração,"O administrador deve ter uma visão geral de todas as solicitações de agendamento do sistema (pendentes, confirmadas, recusadas), de todos os psicólogos."
RF026,Funcional,Administração,"O administrador deve poder aprovar uma solicitação de agendamento em nome de um psicólogo, caso seja necessário (ex: em caso de ausência do profissional). O sistema deve registrar que a ação foi feita pelo administrador."
RF027,Funcional,Administração,"O administrador deve poder recusar uma solicitação de agendamento em nome de um psicólogo, informando uma justificativa. O sistema deve registrar que a ação foi feita pelo administrador."
RF028,Funcional,Administração,"O administrador deve poder gerar relatórios estatísticos básicos, como número de atendimentos por período, por psicólogo, ou status das solicitações (sem expor dados dos pacientes)."
RF029,Funcional,Administração,"O administrador deve poder consultar um log de atividades importantes do sistema, como criação de usuários, alterações de permissão e agendamentos realizados."
RF030,Funcional,Gerenciamento de Consultas (Psicólogo),"Durante ou após uma consulta confirmada, o psicólogo deve poder criar e editar um prontuário eletrônico associado àquela sessão, contendo suas anotações sigilosas."
RF031,Funcional,Gerenciamento de Consultas (Psicólogo),"O psicólogo deve ter acesso a uma tela de histórico com a lista de todas as suas consultas já realizadas, pesquisável ou filtrável por nome do aluno ou período."
RF032,Funcional,Gerenciamento de Consultas (Psicólogo),"A partir da tela de histórico, o psicólogo deve poder selecionar uma consulta passada para visualizar todos os seus detalhes, incluindo o prontuário e as anotações feitas para aquela sessão."
RF033,Funcional,Área do Aluno,"Um aluno logado deve poder acessar uma área pessoal para visualizar seu histórico de atendimentos passados, contendo a data, o horário e o nome do psicólogo de cada sessão."
RF034,Funcional,Gerenciamento (Psicólogo),"O psicólogo deve poder criar, visualizar, editar e excluir categorias para seus atendimentos (ex: ""Primeira consulta"", ""Acompanhamento"", ""Orientação Acadêmica"")."
RF035,Funcional,Solicitação de Agendamento,"Ao solicitar um agendamento, o solicitante (visitante, aluno ou professor) deve ser obrigado a selecionar uma das categorias de atendimento previamente cadastradas pelo psicólogo."
RF036,Funcional,Gerenciamento de Consultas (Psicólogo),A categoria selecionada pelo solicitante deve ser exibida nos detalhes da solicitação de agendamento e no histórico de consultas do psicólogo.
RNF001,Não Funcional,Tecnologia,"O sistema deve ser uma aplicação web, acessível através dos principais navegadores (Chrome, Firefox, Safari, Edge)."
RNF002,Não Funcional,Usabilidade,"A interface do sistema deve ser responsiva, adaptando-se a diferentes tamanhos de tela, como desktops, tablets e smartphones."
RNF003,Não Funcional,Segurança,"O acesso dos usuários cadastrados (Aluno, Professor, Psicólogo) deve ser controlado por um sistema de autenticação (login e senha)."
RNF004,Não Funcional,Segurança / LGPD,"Todos os dados de agendamento e de pacientes devem ser armazenados de forma segura, com acesso restrito apenas aos perfis autorizados (ex: psicólogo). O sistema deve estar em conformidade com a LGPD."
RNF005,Não Funcional,Confiabilidade,"O sistema deve ter uma disponibilidade de 99% do tempo, excluindo-se janelas de manutenção planejadas."
RNF006,Não Funcional,Desempenho,"As páginas principais do sistema, especialmente a de agendamento, devem carregar em no máximo 3 segundos em uma conexão de internet padrão."
RNF007,Não Funcional,Confiabilidade,"O sistema deve garantir a entrega dos emails de notificação (solicitação, confirmação, recusa). Deve haver um mecanismo para tratar falhas no envio."
RNF008,Não Funcional,Usabilidade,"A interface deve ser clara e intuitiva, permitindo que um usuário leigo consiga realizar um agendamento sem a necessidade de um manual."
RNF009,Não Funcional,Segurança,"Todas as ações críticas realizadas pelo administrador (criação/edição de usuários, aprovação/recusa de agendamentos, etc.) devem ser registradas em um log de auditoria detalhado, informando quem fez, o que foi feito e quando."
RNF010,Não Funcional,Manutenibilidade,"O sistema deve permitir que um psicólogo adicione ou remova categorias de atendimento de forma independente, sem a necessidade de intervenção de um administrador ou de alteração no código-fonte."
